Id,NamePt,DescriptionPt,Image,Gi,Calories,Acidification,Carbohydrates,Ashes,Proteins,SaturedFats,MonounsaturatedFats,PolyunsaturatedFats,Cholesterol,TotalFat,DietaryFiber,Sugar,Gl,UnitOfMeasurement,IsRecipe,Icon,Keys,Type,A,Alanine,AlphaCarotene,Arginine,AsparticAcid,B1,B11,B12,B2,B3,B5,B6,B7,B9,BetaCarotene,C,Calcium,Choline,Copper,CryptoxanthinCarotene,Cystine,D,D2,D3,E,Fluoride,GlutamicAcid,Glutamine,Glycine,Histidine,Iron,Isoleucine,K,Leucine,Lycopene,Lysine,Magnesium,Manganese,Methionine,Phenylalanine,Phosphorus,Potassium,Proline,Selenium,Serine,Sodium,Threonine,Tryptophan,Tyrosine,Valine,Zinc,Description,Name
115,Maniçoba,"",https://i.pinimg.com/originals/aa/69/2b/aa692b1b67df3742efe2cf6e521068b3.jpg,0,134.2229,0,3.4193332,1.5276667,9.958333,2.8933334,3.676,1.6736667,42.766335,8.699333,2.16,0,0,0,f,"",maniçoba,5,0,0,0,0,0,0.043333333,0,0,0.07,2.5766666,0,0.05,0,0,0,0,65.98067,0,0.15966667,0,0,0,0,0,0,0,0,0,0,0,3.2153332,0,0,0,0,0,23.652334,0.596,0,0,54.882668,147.71266,0,0,0,406.70435,0,0,0,0,2.0253334,"",""
116,Manga,"",https://media.istockphoto.com/photos/mangoes-composition-picture-id1272010307?b=1&k=20&m=1272010307&s=170667a&w=0&h=ZjJ85mpjAr__adYT7zqSdYEDi1XvWiqgtVLqNYIDtkw=,0,60,0,14.98,0,0.82,0.092,0,0,0,0.38,0,0,0,0,f,/images/food/mango.png,"manga, mangas",4,54,82,9,31,68,0,0,0,0.038,0.669,0,0.119,0,0,640,36.4,11,7.6,0.111,0,0,0,0,0,0,0,96,0,34,19,0.16,29,4.2,50,3,66,10,0.063,8,27,14,168,29,0,35,1,31,13,16,42,0.09,"",""
117,Manjericão,"",https://images.unsplash.com/photo-1538596313828-41d729090199?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=870&q=80,0,23,0,2.65,0,3.15,0.041,0,0,0,0.64,0,0,0,0,f,/images/food/basil.png,manjericão,2,264,132,0,117,301,0,0,0,0.076,0.902,0,0.155,0,0,3142,18,177,11.4,0.385,0,28,0,0,0,0,0,277,0,122,51,3.17,104,414.8,191,0,110,64,1.148,36,130,56,295,104,0,99,4,104,39,77,127,0.81,"",""
118,Manteiga,"",https://images.unsplash.com/photo-1589985270826-4b7bb135bc9d?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=1050&q=80,0,717,0,0.06,0,0.85,51.368,0,0,0,81.11,0,0,0,0,f,/images/food/butter.svg,"",6,684,29,0,31,64,0,0,0.17,0.034,0.042,0,0.003,0,0,158,0,24,18.8,0,0,8,0,0,0,0,0,178,0,18,23,0.02,51,7,83,0,67,2,0,21,41,24,24,82,0,46,643,38,12,41,57,0.09,"",""
119,Manteiga de amendoim,"",https://images.unsplash.com/flagged/photo-1625402535207-953e03369f59?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=1050&q=80,0,588,0,23.98,2.2186666,21.93,9.519,17.2,16.2,0,49.54,8.036,0,0,1,f,/images/food/peanut-butter.svg,"",6,0,905,0,2734,3016,0,0,0,0.105,13.16,0,0.551,0,0,0,0,54,65.7,0.571,0,226,0,0,0,0,0,5029,0,1419,550,2.16,608,0,1527,0,672,179,1.361,262,1187,335,592,1391,0,1463,476,518,228,819,773,2.67,"",""
120,Maracujá,"",https://media.istockphoto.com/photos/fresh-passion-fruit-on-wood-table-in-top-view-flat-lay-for-background-picture-id860079962?b=1&k=20&m=860079962&s=170667a&w=0&h=WjvMtFrnUVnXWtwMt8uDO3MwEyveM-WEOQT-pG_6Npg=,0,97,0,23.38,0,2.2,0.059,0,0,0,0.7,0,0,0,0,f,/images/food/passion-fruit.png,maracujá,4,64,0,0,0,0,0,0,0,0.13,1.5,0,0.1,0,0,743,30,12,7.6,0.086,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0.7,0,0,0,29,0,0,0,68,348,0,0,0,28,0,0,0,0,0.1,"",""
121,Margarina,"",https://www.saudevitalidade.com/wp-content/uploads/2021/02/pao-com-margarina-cafe-da-manha-1571859727604_v2_1920x1146-800x445.jpg,0,719,0,0.9,0,0.9,16.7,0,0,0,80.5,0,0,0,0,f,/images/food/margarine.svg,"",6,819,29,0,31,65,0,0,0.1,0.037,0.023,0,0.009,0,0,610,0.2,30,0,0,0,8,0,0,0,0,0,179,0,18,23,0,52,0,84,0,68,3,0,21,41,23,42,83,0,46,943,39,12,41,57,0,"",""
122,Maria mole,"",https://www.oetker.com.br/Recipe/Recipes/oetker.com.br/br-pt/dessert/image-thumb__70800__RecipeDetailsLightBox/maria-mole.jpg,0,256.57816,0,2.4324534,2.0306666,9.629547,13.7,6.4,0.3,73.669,23.441,0,0,0,0,f,/images/food/marshmallows.png,"maria-mole, marshmallow, marximelo",12,194.58667,0,0,0,0,0,0,0,0.19066666,0,0,0,0,0,0,0,259.46667,0,0.045,0,0,0,0,0,0,0,0,0,0,0,0.115,0,0,0,0,0,11.628333,0.015333333,0,0,447.88034,93.06433,0,0,0,557.9247,0,0,0,0,1.277,"",""
123,Massa gravatinha,"",https://dcom-prod.imgix.net/files/wp-content/uploads/2017/07/1499888237-frango-grelhado-com-brocolis-e-macarrao-gravatinha_616x462.jpg?w=1280&h=720&crop=focalpoint&fp-x=0.5&fp-y=0.1&fit=crop&auto=compress&q=75,0,108.429,0,18.467,0,4.176,0.536,0,0,0,1.762,0,0,0,0,f,/images/food/farfalle.png,"massa gravatinha, gravatinha, massa, macarrão",5,20.077,116.092,0,129.502,181.992,0,0,0.038,0.038,2.184,0,0.115,0,0,188.544,0.996,40.498,10.268,0.077,0,59.004,0.421,0,0,0,0,1154.789,0,106.897,93.487,0.613,150.575,7.05,285.824,6431.571,0,18.621,0.23,0,183.908,58.851,184.598,424.904,0,176.628,253.985,127.203,50.192,95.785,179.31,0.421,"",""
124,Mel,"",https://images.unsplash.com/photo-1573697610008-4c72b4e9508f?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=755&q=80,0,304,0,82,0,0,0,0,0,0,0,0.2,82,0,0,f,/images/food/honey.png,"mel, mel de abelha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,2,0,0,0,0,52,0,0,0,4,0,0,0,0,0,"",""
